#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
W_L_125523;http://en.wikipedia.org/wiki/Tekuder;http://fr.wikipedia.org/wiki/Ahmad_Tek%C3%BCder;http://de.wikipedia.org/wiki/Tekuder;;http://es.wikipedia.org/wiki/Tekuder;;;;;;;;;x
W_L_478808;http://en.wikipedia.org/wiki/Arghun;http://fr.wikipedia.org/wiki/Arghoun;http://de.wikipedia.org/wiki/Arghun;;http://es.wikipedia.org/wiki/Arghun;;;;;;;;;x
W_L_125524;http://en.wikipedia.org/wiki/Ghazan;http://fr.wikipedia.org/wiki/Mahmud_Ghazan_Khan;http://de.wikipedia.org/wiki/Ghazan_Ilchan;;http://es.wikipedia.org/wiki/Ghazan;;;;;;;;;x
W_L_125525;http://en.wikipedia.org/wiki/Gaykhatu;http://fr.wikipedia.org/wiki/Ghaykhatou;http://de.wikipedia.org/wiki/Gaichatu;;http://es.wikipedia.org/wiki/Gaikhatu;;;;;;;;;x
W_L_125526;http://en.wikipedia.org/wiki/Ariq_B%C3%B6ke;http://fr.wikipedia.org/wiki/Ariq_Boqa;http://de.wikipedia.org/wiki/Arigkbugha_Khan;;;;;;;;;;;x
W_L_125528;http://en.wikipedia.org/wiki/Arpa_Ke%27un;http://fr.wikipedia.org/wiki/Arpa_Ka%27on;http://de.wikipedia.org/wiki/Arpa_Ke%27un;;;;;;;;;;;x
W_L_166853;http://en.wikipedia.org/wiki/Belgutei;;;;;;;;;;;;;x
W_L_166855;http://en.wikipedia.org/wiki/Tem%C3%BCge;;;;;;;;;;;;;x
W_L_166854;http://en.wikipedia.org/wiki/Hachiun;;;;;;;;;;;;;x
W_L_478000;http://en.wikipedia.org/wiki/Musa_(Ilkhanid_dynasty);;;;;;;;;;;;;x
W_L_478001;http://en.wikipedia.org/wiki/Timurtash;http://fr.wikipedia.org/wiki/Timurta%C5%9F_Noyan;;;;;;;;;;;;x
W_L_478002;http://en.wikipedia.org/wiki/Chupan;http://fr.wikipedia.org/wiki/Chupan;http://de.wikipedia.org/wiki/Amir_Tschupan;;;;;;;;;;;x
W_L_478003;http://en.wikipedia.org/wiki/Demasq_Kaja;;;;;;;;;;;;;x
W_L_478004;http://en.wikipedia.org/wiki/Shaikh_Mahmoud;;;;;;;;;;;;;x
W_L_478005;http://en.wikipedia.org/wiki/Hassan_(Chupanids);;;;;;;;;;;;;x
W_L_478006;http://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan;http://fr.wikipedia.org/wiki/Abu_Sa%C3%AFd_Bahadur;http://de.wikipedia.org/wiki/Abu_Sa%27id_(Ilchane);;http://es.wikipedia.org/wiki/Abu_Sa%C3%ADd_Bahador_Jan;;;;;;;;;x
W_L_478007;http://en.wikipedia.org/wiki/%C3%96ljait%C3%BC;http://fr.wikipedia.org/wiki/Oldja%C3%AFtou;http://de.wikipedia.org/wiki/%C3%96ldscheit%C3%BC;;http://es.wikipedia.org/wiki/%C3%96ljeit%C3%BC;;;;;;;;;x
W_L_478033;http://en.wikipedia.org/wiki/Hasan_Kuchak;http://fr.wikipedia.org/wiki/Hasan_K%C3%BBtchek;;;;;;;;;;;;x
W_L_478034;http://en.wikipedia.org/wiki/Malek_Ashraf;http://fr.wikipedia.org/wiki/Malek_Achraf;;;;;;;;;;;;x
W_L_93060;http://en.wikipedia.org/wiki/Togha_Tem%C3%BCr;http://fr.wikipedia.org/wiki/Togha_Tem%C3%BCr;;;;;;;;;;;;x
W_L_45108;http://en.wikipedia.org/wiki/Hasan_ibn_Zayd;http://fr.wikipedia.org/wiki/Al_Hasan_Ibn_Zayd_Al_%27Alaw%C3%AE;;;;;;;;;;;;x
W_L_163166;http://en.wikipedia.org/wiki/Muhammad_ibn_Zayd;;;;;;;;;;;;;x
W_L_144123;http://en.wikipedia.org/wiki/Sabuktigin;http://fr.wikipedia.org/wiki/Subuktig%C3%AEn;http://de.wikipedia.org/wiki/Seb%C3%BCk_Tigin;;http://es.wikipedia.org/wiki/Sebuk_Tigin_de_Gazni;;;;;;;;;x
W_L_144124;http://en.wikipedia.org/wiki/Ismail_of_Ghazni;;;;;;;;;;;;;x
